player_id,player_name,press_count,degree_centrality,betweenness_centrality,clustering_coefficient,community_id
44876,A. Güler,14,0.8095238095238095,0.35611111111111116,0.9117647058823529,1
507909,Mario Martín,1,0.2857142857142857,0.3378571428571429,1.0,1
12662,Éder Militão,7,0.8095238095238095,0.28523809523809524,0.9852941176470589,1
163356,Nico Paz,3,0.38095238095238093,0.21158730158730163,1.0,0
2190,Dani Ceballos,29,0.9523809523809523,0.15388888888888888,0.8947368421052632,1
6373,Lucas Vázquez,49,0.9523809523809523,0.09357142857142857,0.9052631578947369,1
10520,T. Kroos,101,0.9047619047619047,0.05833333333333333,0.9122807017543859,0
11277,F. Mendy,47,0.8095238095238095,0.021984126984126988,0.9338235294117647,0
23903,Rodrygo,184,1.0,0.015476190476190475,0.8428571428571429,0
2189,Dani Carvajal,75,0.9523809523809523,0.0,0.9052631578947369,0
12218,A. Tchouaméni,66,0.8571428571428571,0.0,0.9803921568627451,0
2395,D. Alaba,30,0.8571428571428571,0.0,0.9803921568627451,1
993,A. Rüdiger,58,0.9047619047619047,0.0,0.9649122807017544,0
12253,Vinícius Júnior,144,0.9047619047619047,0.0,0.9649122807017544,0
11592,Brahim Diaz,93,0.9047619047619047,0.0,0.9649122807017544,1
5449,Joselu,98,1.0,0.0,0.8428571428571429,1
12251,F. Valverde,158,0.9523809523809523,0.0,0.9052631578947369,0
6462,L. Modrić,97,0.9047619047619047,0.0,0.9649122807017544,1
7840,Nacho Fernández,51,0.9047619047619047,0.0,0.9649122807017544,0
22103,E. Camavinga,107,0.9523809523809523,0.0,0.8947368421052632,1
31993,Fran García,39,0.9047619047619047,0.0,0.9064327485380117,1
24583,J. Bellingham,182,0.9523809523809523,0.0,0.9052631578947369,0

# Network Statistics
# Density: 0.857
# Avg Clustering: 0.933
# Communities: 2
# Avg Path Length: 3.81
