player_id,player_name,press_count,degree_centrality,betweenness_centrality,clustering_coefficient,community_id
11607,Jesús Vallejo,1,0.2857142857142857,0.4722222222222222,1.0,0
747384,Jacobo Ramón,4,0.6190476190476191,0.47182539682539687,0.9102564102564102,0
259174,Endrick,32,0.9523809523809523,0.39682539682539697,0.8526315789473684,0
2395,D. Alaba,11,0.6666666666666666,0.09047619047619047,1.0,0
6373,Lucas Vázquez,64,0.9523809523809523,0.08928571428571432,0.8947368421052632,0
44876,A. Güler,58,1.0,0.028968253968253973,0.8333333333333334,0
12662,Éder Militão,25,0.7619047619047619,0.015476190476190477,0.975,1
11592,Brahim Diaz,86,0.9047619047619047,0.014285714285714287,0.9181286549707602,0
2189,Dani Carvajal,18,0.6666666666666666,0.0071428571428571435,0.989010989010989,1
12218,A. Tchouaméni,85,1.0,0.0,0.8333333333333334,0
993,A. Rüdiger,49,0.9047619047619047,0.0,0.9298245614035088,1
11277,F. Mendy,29,0.8571428571428571,0.0,0.934640522875817,1
6462,L. Modrić,99,0.9523809523809523,0.0,0.8947368421052632,0
23903,Rodrygo,134,0.9047619047619047,0.0,0.9298245614035088,0
31993,Fran García,58,0.8571428571428571,0.0,0.9215686274509803,0
2190,Dani Ceballos,54,0.7619047619047619,0.0,0.9916666666666667,0
12251,F. Valverde,137,0.9523809523809523,0.0,0.8947368421052632,0
22103,E. Camavinga,52,0.8571428571428571,0.0,0.954248366013072,0
70532,Raúl Asencio,37,0.8571428571428571,0.0,0.934640522875817,0
24583,J. Bellingham,182,1.0,0.0,0.8333333333333334,0
6028,K. Mbappé,220,1.0,0.0,0.8333333333333334,0
12253,Vinícius Júnior,172,0.9523809523809523,0.0,0.8947368421052632,0

# Network Statistics
# Density: 0.848
# Avg Clustering: 0.916
# Communities: 2
# Avg Path Length: 4.13
