player_id,player_name,press_count,degree_centrality,betweenness_centrality,clustering_coefficient,community_id
44876,A. Güler,2,0.631578947368421,0.39686020607073236,0.9848484848484849,0
12662,Éder Militão,1,0.47368421052631576,0.2533509700176366,1.0,0
2190,Dani Ceballos,4,0.7894736842105263,0.16570593149540516,0.9333333333333333,0
7840,Nacho Fernández,11,0.9473684210526315,0.043859649122807015,0.8627450980392157,1
10520,T. Kroos,22,1.0,0.042304836164485285,0.847953216374269,1
2189,Dani Carvajal,9,0.894736842105263,0.0399772579597141,0.8897058823529411,0
22103,E. Camavinga,11,1.0,0.028696741854636585,0.847953216374269,0
12253,Vinícius Júnior,20,1.0,0.026645316996194185,0.847953216374269,1
31993,Fran García,10,0.7368421052631579,0.023447507658033974,0.967032967032967,1
2395,D. Alaba,4,0.6842105263157894,0.021136173767752713,0.9871794871794872,0
23903,Rodrygo,27,1.0,0.019145084934558618,0.847953216374269,1
11277,F. Mendy,7,0.7894736842105263,0.017265385686438317,0.9333333333333333,1
12251,F. Valverde,27,0.9473684210526315,0.00943098486958136,0.8562091503267973,1
6373,Lucas Vázquez,8,0.7894736842105263,0.0017218973359324236,0.9523809523809523,1
6462,L. Modrić,16,0.9473684210526315,0.0017218973359324236,0.8954248366013072,1
993,A. Rüdiger,24,0.9473684210526315,0.0,0.8954248366013072,1
5449,Joselu,14,0.9473684210526315,0.0,0.8954248366013072,0
12218,A. Tchouaméni,26,0.9473684210526315,0.0,0.8954248366013072,1
24583,J. Bellingham,27,0.9473684210526315,0.0,0.8758169934640523,1
11592,Brahim Diaz,16,0.8421052631578947,0.0,0.95,1

# Network Statistics
# Density: 0.863
# Avg Clustering: 0.908
# Communities: 2
# Avg Path Length: 2.31
